,Gender,Education_Level,Location,Proximity_to_Beaches,Favorite_Season,Environmental_Concerns,Class
539,1,3,1,108,2,0,0
540,2,1,3,7,3,1,0
541,3,3,1,236,3,1,1
542,2,1,2,190,3,1,1
543,1,3,3,41,2,1,1
544,1,1,1,186,2,1,0
545,3,3,2,61,4,0,0
546,2,2,1,67,3,1,0
547,3,1,2,282,2,1,1
548,1,4,1,225,1,0,1
549,2,4,1,167,4,1,1
550,3,4,3,246,1,0,0
551,1,1,2,164,3,1,1
552,1,4,2,212,2,1,0
553,1,4,3,115,4,0,0
554,3,1,1,46,2,0,0
555,3,3,2,229,3,1,0
556,2,3,1,279,4,0,1
557,1,2,1,169,4,1,0
558,1,1,1,259,1,0,1
559,2,4,2,91,3,0,0
560,1,3,2,230,2,1,0
561,1,3,1,18,3,1,0
562,3,3,2,166,3,0,1
563,2,3,1,58,1,1,0
564,3,2,1,208,4,1,0
565,2,1,2,275,4,0,1
566,1,2,3,198,4,1,0
567,3,2,1,252,4,1,0
568,3,4,2,23,1,0,0
569,3,4,2,122,1,1,1
570,2,2,2,256,2,1,0
571,2,2,1,278,1,1,1
572,2,2,1,27,1,0,0
573,2,3,1,115,2,0,0
574,3,4,2,285,3,0,1
575,2,1,2,176,3,1,1
576,2,3,1,277,1,1,1
577,2,3,3,132,4,0,1
578,3,1,3,277,3,0,0
579,1,3,3,159,4,1,0
580,2,2,2,77,2,1,0
581,2,3,3,153,3,0,0
582,3,2,2,95,1,0,0
583,1,1,2,213,3,1,1
584,2,1,1,124,2,1,1
585,3,2,3,191,4,0,0
586,3,2,1,181,4,1,1
587,3,4,1,298,1,1,1
588,2,4,3,234,1,1,1
589,1,3,1,275,2,0,0
590,2,4,2,143,4,0,1
591,1,1,3,286,3,1,0
592,2,3,2,157,3,1,0
593,2,2,2,78,3,0,0
594,3,3,3,136,4,0,1
595,2,3,3,49,4,0,0
596,1,3,2,20,3,1,0
597,3,1,2,5,3,1,0
598,3,3,1,247,4,0,1
599,3,1,2,87,3,0,0
600,3,3,3,215,3,0,1
601,1,2,1,251,2,1,1
602,3,2,2,206,4,1,0
603,1,3,1,233,2,0,1
604,1,4,3,155,2,0,1
605,2,1,3,198,2,1,0
606,2,1,1,99,4,0,0
607,1,1,2,65,2,1,0
608,1,3,2,257,1,0,0
609,2,4,2,270,1,0,0
610,3,3,2,168,1,1,1
611,2,3,2,145,3,1,0
612,1,4,2,111,3,1,0
613,1,2,3,216,3,0,1
614,3,3,1,208,4,0,1
615,3,2,1,42,4,1,0
616,1,2,1,167,1,1,0
617,2,4,1,100,2,0,1
618,3,3,3,267,1,1,1
619,1,1,3,238,2,0,1
620,3,3,1,31,3,1,0
621,3,3,3,89,3,0,1
622,1,3,3,143,2,0,0
623,3,1,2,193,3,1,1
624,2,4,1,14,2,0,0
625,3,4,3,205,1,1,0
626,2,4,2,76,1,0,1
627,2,2,3,51,4,0,1
628,2,2,1,132,4,0,1
629,3,2,1,145,3,1,0
630,2,3,3,277,3,1,1
631,2,1,1,99,2,0,1
632,1,3,3,157,4,0,0
633,3,4,2,252,2,0,1
634,3,1,2,290,1,0,1
635,1,2,2,97,4,1,1
636,2,4,2,212,3,1,0
637,3,1,3,33,4,1,0
638,2,2,2,259,4,0,0
639,1,2,2,200,1,0,1
640,2,1,1,51,2,1,1
641,1,2,3,251,2,0,1
642,3,2,1,34,4,0,0
643,2,4,2,75,1,1,1
644,1,3,2,258,2,0,0
645,2,3,2,139,4,0,0
646,3,4,3,277,1,1,1
647,2,2,3,166,1,1,0
648,3,4,2,157,3,1,1
649,2,3,1,26,4,0,0
650,2,2,1,282,3,1,1
651,2,1,3,298,3,1,0
652,2,2,1,267,1,1,1
653,1,3,3,164,1,1,0
654,1,4,1,167,1,0,1
655,1,2,3,159,4,1,0
656,3,2,1,143,1,1,1
657,2,2,2,120,3,0,0
658,2,3,1,125,3,0,0
659,2,2,3,282,1,0,1
660,2,1,1,123,4,1,0
661,2,4,2,100,2,0,0
662,1,4,2,25,1,1,0
663,2,4,3,109,2,1,1
664,2,1,2,257,2,0,0
665,2,4,3,144,3,0,1
666,1,4,1,36,4,0,0
667,2,1,1,198,4,1,1
668,1,3,2,156,4,1,0
669,2,3,1,89,1,0,1
670,3,1,1,239,2,0,1
671,1,4,1,151,1,1,1
672,1,2,1,211,4,1,1
673,1,4,3,185,2,1,1
674,3,2,1,175,1,0,0
675,1,1,2,280,1,0,1
676,1,3,3,103,1,1,1
677,2,1,1,37,1,1,0
678,3,1,2,185,4,1,1
679,1,1,1,129,1,1,0
680,3,3,1,289,3,0,1
681,1,4,2,188,4,1,1
682,3,2,1,171,1,0,1
683,1,4,1,195,3,1,0
684,1,3,1,135,4,1,1
685,1,1,3,265,3,1,1
686,1,4,1,233,1,0,1
687,3,4,3,257,2,1,1
688,3,2,2,228,3,0,1
689,2,2,3,168,3,1,1
690,2,1,3,279,2,0,1
691,1,3,3,87,4,1,0
692,1,4,1,93,1,1,0
693,2,2,2,246,1,0,1
694,3,2,3,209,2,1,0
695,1,1,3,169,2,1,1
696,1,4,3,108,4,1,1
697,1,1,2,177,1,1,1
698,2,4,3,280,4,0,0
699,1,3,1,60,3,0,0
700,3,2,2,225,2,1,0
701,2,1,1,250,2,0,1
702,1,3,1,164,2,1,1
703,1,2,3,254,4,1,0
704,1,3,3,269,2,0,1
705,1,3,3,165,3,0,1
706,2,1,3,226,2,0,1
707,2,2,1,120,4,0,1
708,2,2,2,0,4,0,0
709,1,1,1,113,3,1,1
710,1,2,1,24,3,1,0
711,1,4,1,251,2,1,1
712,3,2,1,191,4,1,0
713,2,1,1,216,3,1,1
714,2,3,2,249,3,0,1
715,1,4,1,157,1,0,1
716,2,2,3,111,4,1,1
717,3,3,1,30,1,1,1
718,1,3,2,144,2,0,0
719,1,3,2,143,4,1,0
720,1,3,1,110,2,1,1
721,2,1,1,101,3,0,0
722,2,2,2,172,2,0,1
723,2,2,2,51,4,1,0
724,2,4,2,250,4,0,1
725,1,1,2,226,2,0,1
726,1,3,3,249,2,1,0
727,1,3,1,295,3,0,1
728,2,4,3,236,2,1,1
729,1,1,2,146,1,1,0
730,1,4,1,230,4,1,1
731,2,2,1,283,1,0,1
732,2,3,2,13,4,1,0
733,3,3,2,182,3,0,0
734,1,3,2,262,4,1,0
735,1,1,3,3,1,1,0
736,3,3,2,192,2,0,0
737,1,2,3,138,4,0,0
738,2,3,1,228,4,0,0
739,3,2,2,210,1,0,0
740,2,2,2,295,2,1,1
741,3,3,3,71,1,1,1
742,3,3,1,148,3,1,1
743,3,4,1,40,1,0,0
744,3,2,3,271,1,1,1
745,2,2,2,282,2,1,1
746,1,1,3,249,2,1,0
747,3,2,3,291,4,0,1
748,3,4,2,83,4,1,0
749,1,3,2,79,4,0,0
750,2,3,3,113,2,0,0
751,2,4,1,166,4,1,0
752,3,3,2,292,4,0,1
753,1,2,1,261,2,0,1
754,1,2,2,173,1,1,1
755,2,1,2,132,1,1,0
756,1,3,2,116,2,0,0
757,2,2,1,120,4,0,1
758,3,3,1,100,2,1,0
759,1,4,1,226,3,0,1
760,1,3,1,283,3,1,1
761,2,3,3,194,3,1,1
762,3,1,1,160,1,1,1
763,2,4,3,299,4,1,1
764,1,4,3,21,3,1,0
765,3,4,3,127,4,0,1
766,1,3,2,282,1,0,1
767,2,1,3,226,3,1,1
768,3,3,2,128,2,0,0
769,2,2,3,171,1,0,0
770,1,4,1,236,1,0,1
771,3,4,1,54,1,1,0
772,1,3,1,265,2,0,1
773,3,4,2,242,2,1,0
774,3,1,2,282,3,0,1
775,2,1,1,115,1,0,0
776,1,2,3,52,3,1,1
777,2,4,3,137,1,1,0
778,2,1,1,6,2,1,0
779,2,1,3,291,2,1,1
780,2,2,3,281,3,0,1
781,2,2,1,285,1,0,1
782,1,1,2,191,1,0,1
783,3,4,3,107,2,0,0
784,3,2,3,261,2,1,1
785,1,1,1,85,1,0,0
786,3,1,2,225,1,0,1
787,3,4,1,273,4,1,0
788,3,3,3,57,4,0,0
789,3,3,1,109,3,0,0
790,3,1,3,15,1,0,0
791,1,1,1,274,1,0,1
792,2,3,3,260,1,0,0
793,2,1,2,280,4,0,1
794,3,2,3,212,2,1,1
795,3,1,3,68,3,1,0
796,2,3,3,242,4,0,1
797,3,1,2,270,1,0,1
798,3,1,1,136,2,0,1
799,1,3,2,187,3,1,0
800,2,1,2,171,2,0,1
801,3,1,3,230,3,1,1
802,2,1,1,259,4,1,1
803,1,3,1,197,4,1,0
804,2,2,2,292,4,0,1
805,2,4,2,258,2,1,1
806,1,2,2,254,1,1,1
807,2,3,2,104,1,1,1
808,2,1,2,116,2,0,1
809,1,2,1,13,3,1,0
810,1,1,3,100,1,1,1
811,1,4,1,74,3,0,0
812,3,2,3,202,3,1,0
813,3,2,1,24,2,1,0
814,3,2,3,291,1,0,0
815,2,1,2,218,1,1,0
816,2,2,1,227,2,0,1
817,3,3,3,133,4,1,1
818,1,4,2,262,4,0,0
819,2,4,2,9,3,1,0
820,3,4,1,98,2,1,0
821,1,3,1,55,3,0,1
822,1,3,1,119,4,1,1
823,3,4,2,63,1,0,1
824,2,4,1,44,3,1,1
825,1,1,1,114,2,0,0
826,2,4,2,221,3,0,1
827,1,4,2,181,3,1,0
828,1,3,2,83,2,0,0
829,2,2,2,283,4,1,0
830,2,3,1,163,1,1,0
831,2,1,2,160,3,1,0
832,2,2,2,208,3,0,1
833,3,3,3,173,3,0,1
834,3,1,1,225,3,0,1
835,1,3,1,137,1,1,0
836,2,1,1,237,1,1,1
837,3,3,2,251,2,1,1
838,3,4,1,182,1,1,1
839,3,2,2,232,4,0,1
840,1,1,1,6,4,1,0
841,1,1,1,192,2,0,1
842,3,1,1,12,4,0,0
843,1,3,3,118,3,0,0
844,2,3,3,93,1,0,0
845,1,4,1,252,3,1,1
846,3,4,3,193,2,1,1
847,2,4,2,193,2,1,0
848,2,1,1,93,3,1,1
849,3,3,3,52,4,1,1
850,1,1,2,24,1,0,0
851,3,2,3,230,1,1,1
852,2,1,1,110,1,1,1
853,3,2,2,55,4,1,0
854,3,2,3,115,2,1,1
855,1,3,1,141,4,1,0
856,1,1,2,206,4,1,0
857,1,4,3,238,2,1,1
858,1,2,1,255,4,1,1
859,2,1,3,130,3,0,1
860,1,2,2,154,1,0,0
861,3,4,2,150,4,0,1
862,1,4,2,279,3,0,0
863,2,2,3,279,1,0,1
864,1,2,3,255,4,1,1
865,3,1,2,126,4,0,1
866,3,2,1,131,1,1,0
867,2,3,1,6,3,1,0
868,3,2,1,278,4,0,0
